,Quarter,Type,Decision_or_Reminder,Decision_Score,Decision_Time,Game,Good
1,1,Structural,Decision,-1,78.91666667,1,0
2,1,Structural,Reminder,-2,74.78333333,1,1
3,1,Structural,Decision,-2,72.01666667,1,1
4,1,Structural,Reminder,-2,72.01666667,1,0
5,1,Structural,Reminder,-3,68.03333333,1,1
6,1,Structural,Reminder,-3,67.05,1,1
7,1,Structural,Decision,-3,66.58333333,1,0
8,1,Structural,Reminder,-9,64.51666667,1,1
9,1,Personnel,Reminder,-9,63.03333333,1,1
10,1,Personnel,Decision,-9,60.23333333,1,0
11,2,Personnel,Reminder,-15,58.01666667,1,1
12,2,Personnel,Decision,-15,56.98333333,1,1
13,2,Structural,Reminder,-15,54.01666667,1,0
14,2,Structural,Reminder,-22,53.01666667,1,0
15,2,Structural,Reminder,-29,48.01666667,1,0
16,3,Structural,Reminder,-34,38.01666667,1,1
17,3,Structural,Reminder,-34,37.41666667,1,1
18,3,Personnel,Decision,-34,36.46666667,1,0
19,3,Personnel,Decision,-35,32.03333333,1,1
20,3,Personnel,Reminder,-35,31.01666667,1,1
21,3,Structural,Reminder,-27,29.2,1,1
22,3,Structural,Reminder,-27,29.2,1,1
23,3,Structural,Reminder,-27,28.08333333,1,1
24,3,Structural,Reminder,-13,27.01666667,1,1
25,3,Structural,Reminder,-5,23.01666667,1,1
26,4,Personnel,Reminder,-5,15.01666667,1,1
27,4,Personnel,Reminder,-5,15.01666667,1,0
28,4,Personnel,Reminder,-17,13.01666667,1,1
29,4,Structural,Reminder,-17,12.01666667,1,1
30,4,Structural,Reminder,-17,12.01666667,1,1
31,4,Style,Decision,-16,11.06666667,1,1
32,4,Structural,Reminder,-16,10.01666667,1,1
33,4,Structural,Decision,-16,8.016666667,1,1
34,4,Style,Decision,-11,4.2,1,1
35,4,Structural,Reminder,-11,2.016666667,1,0
36,1,Structural,Reminder,1,77.58333333,2,1
37,1,Style,Reminder,1,76.75,2,1
38,1,Structural,Reminder,1,75,2,1
39,1,Structural,Reminder,1,74.08333333,2,1
40,1,Style,Reminder,2,72.83333333,2,1
41,1,Personnel,Decision,2,70.16666667,2,1
42,1,Style,Reminder,2,70.08333333,2,0
43,1,Personnel,Reminder,-4,68.91666667,2,1
44,1,Style,Reminder,-4,68.66666667,2,1
45,1,Structural,Decision,-3,67.75,2,0
46,1,Style,Reminder,-9,66.33333333,2,0
47,1,Structural,Reminder,-15,63.33333333,2,1
48,1,Style,Reminder,-15,63.25,2,1
49,1,Structural,Reminder,-14,62.66666667,2,1
50,2,Structural,Decision,-14,58.66666667,2,0
51,2,Style,Reminder,-15,56.25,2,1
52,2,Style,Reminder,-2,53.08333333,2,1
53,2,Style,Reminder,-2,52,2,1
54,2,Personnel,Reminder,-1,51.33333333,2,0
55,2,Structural,Decision,-7,48.91666667,2,0
56,2,Style,Reminder,-13,45.75,2,1
57,2,Style,Reminder,-13,42.91666667,2,1
58,3,Structural,Reminder,-6,38.75,2,0
59,3,Personnel,Decision,-7,37.16666667,2,1
60,3,Style,Reminder,-7,33.5,2,0
61,3,Structural,Reminder,-13,33.25,2,1
62,3,Style,Reminder,-1,31.41666667,2,1
63,3,Structural,Reminder,5,30.41666667,2,1
64,3,Personnel,Reminder,5,30.16666667,2,1
65,3,Personnel,Reminder,5,28.66666667,2,1
66,3,Style,Reminder,10,27.25,2,1
67,3,Style,Reminder,10,25.75,2,1
68,3,Style,Reminder,10,25.66666667,2,1
69,3,Personnel,Decision,16,24.83333333,2,0
70,3,Style,Reminder,15,23.08333333,2,1
71,3,Structural,Decision,16,22.16666667,2,0
72,4,Structural,Reminder,15,18,2,1
73,4,Style,Decision,18,15.83333333,2,1
74,4,Structural,Reminder,18,14.58333333,2,0
75,4,Structural,Reminder,17,14.08333333,2,1
76,4,Style,Reminder,17,12.5,2,0
77,4,Personnel,Decision,16,10.25,2,1
78,4,Style,Reminder,16,9.75,2,1
79,4,Style,Reminder,16,9.333333333,2,1
80,4,Structural,Decision,16,7.583333333,2,1
81,4,Structural,Decision,16,6.583333333,2,0
82,4,Personnel,Decision,10,6.083333333,2,1
83,4,Structural,Decision,10,5,2,1
84,4,Structural,Reminder,16,4,2,0
85,4,Structural,Decision,10,2.25,2,1
86,1,Style,Reminder,-6,79.66666667,3,0
87,1,Structural,Reminder,-12,79.41666667,3,1
88,1,Structural,Decision,-6,76.75,3,1
89,1,Structural,Reminder,0,75.33333333,3,1
90,1,Personnel,Decision,0,75.33333333,3,1
91,1,Structural,Reminder,2,73,3,1
92,1,Structural,Reminder,2,72.58333333,3,1
93,1,Style,Reminder,2,72.33333333,3,1
94,1,Structural,Decision,8,71.25,3,1
95,1,Personnel,Reminder,8,71.25,3,0
96,1,Personnel,Reminder,2,69.16666667,3,1
97,1,Structural,Decision,7,68.33333333,3,1
98,1,Style,Reminder,7,68.33333333,3,0
99,1,Personnel,Reminder,-1,65.25,3,1
100,2,Personnel,Decision,4,58.66666667,3,1
101,2,Personnel,Decision,5,57,3,0
102,2,Style,Decision,-8,52.41666667,3,1
103,2,Personnel,Reminder,-8,50.75,3,0
104,2,Style,Reminder,-14,48.66666667,3,1
105,2,Structural,Decision,-14,48.25,3,1
106,2,Personnel,Reminder,-14,48,3,1
107,2,Style,Reminder,-8,47,3,1
108,2,Structural,Decision,-8,46.83333333,3,0
109,2,Structural,Reminder,-14,45.5,3,1
110,3,Structural,Reminder,-13,39,3,0
111,3,Style,Reminder,-14,36.33333333,3,1
112,3,Structural,Reminder,-14,35.5,3,1
113,3,Structural,Decision,-14,35,3,0
